ID;URL;#Name;#Color;#Descriptive Color;#Color RGB;<img>;X;Y
300121;https://brickset.com/parts/300121;Brick 2X4;Red;Bright Red;B40002;images/300121.jpg;0.652;0.14
4160395;https://brickset.com/parts/4160395;Brick 1X6 W/Bow;Green;Dark Green;00852B;images/4160395.jpg;0.592;0.14
4109674;https://brickset.com/parts/4109674;Brick 2X3;Green;Dark Green;00852B;images/4109674.jpg;0.522;0.14
306221;https://brickset.com/parts/306221;Round Brick 1X1;Red;Bright Red;B40005;images/306221.jpg;0.462;0.14
300921;https://brickset.com/parts/300921;Brick 1X6;Red;Bright Red;B40003;images/300921.jpg;0.392;0.14
6056297;https://brickset.com/parts/6056297;Nose Cone 2X2X2;Red;Bright Red;B40006;images/6056297.jpg;0.312;0.14
6004943;https://brickset.com/parts/6004943;Brick 1X2;Blue;Dark Azur;469BC3;images/6004943.jpg;0.242;0.14
6073026;https://brickset.com/parts/6073026;Brick 1X1 W. 1 Knob;Green;Bright Yellowish Green;A5CA18;images/6073026.jpg;0.652;0.2
300424;https://brickset.com/parts/300424;Brick 1X2;Yellow;Bright Yellow;FAC80A;images/300424.jpg;0.592;0.2
6036408;https://brickset.com/parts/6036408;Brick 2X8;Red;Bright Red;B40004;images/6036408.jpg;0.522;0.2
4164022;https://brickset.com/parts/4164022;Brick 1X2;Green;Bright Yellowish Green;A5CA18;images/4164022.jpg;0.462;0.2
614321;https://brickset.com/parts/614321;Brick Ø16 W. Cross;Red;Bright Red;B40007;images/614321.jpg;0.392;0.2
4216615;https://brickset.com/parts/4216615;Brick 2X6;Brown;Reddish Brown;5F3109;images/4216615.jpg;0.312;0.2
4118828;https://brickset.com/parts/4118828;Roof Tile 2X2/45°;Orange;Bright Orange;D67923;images/4118828.jpg;0.242;0.2
4521852;https://brickset.com/parts/4521852;Brick 2X2 W. Bow And Knobs;Red;Bright Red;B40010;images/4521852.jpg;0.652;0.28
621523;https://brickset.com/parts/621523;Brick 2X3 W. Arch;Blue;Bright Blue;1E5AA8;images/621523.jpg;0.592;0.28
621528;https://brickset.com/parts/621528;Brick 2X3 W. Arch;Green;Dark Green;00852B;images/621528.jpg;0.522;0.28
6036851;https://brickset.com/parts/6036851;Roof Tile 1X2/45°;Blue;Dark Azur;469BC3;images/6036851.jpg;0.462;0.28
4121934;https://brickset.com/parts/4121934;Roof Tile 1X2/45°;Red;Bright Red;B40008;images/4121934.jpg;0.392;0.28
4153826;https://brickset.com/parts/4153826;Brick 2X3;Orange;Bright Orange;D67923;images/4153826.jpg;0.312;0.28
4121739;https://brickset.com/parts/4121739;Brick 1X2;Orange;Bright Orange;D67923;images/4121739.jpg;0.242;0.28
300223;https://brickset.com/parts/300223;Brick 2X3;Blue;Bright Blue;1E5AA8;images/300223.jpg;0.652;0.34
4165967;https://brickset.com/parts/4165967;Brick 2X4;Green;Bright Yellowish Green;A5CA18;images/4165967.jpg;0.592;0.34
300328;https://brickset.com/parts/300328;Brick 2X2;Green;Dark Green;00852B;images/300328.jpg;0.522;0.34
303921;https://brickset.com/parts/303921;Roof Tile 2X2/45°;Red;Bright Red;B40009;images/303921.jpg;0.462;0.34
6061560;https://brickset.com/parts/6061560;Brick 2X2 Round Ii;Orange;Transparent Bright Orange;E18D0A;images/6061560.jpg;0.392;0.34
303924;https://brickset.com/parts/303924;Roof Tile 2X2/45°;Yellow;Bright Yellow;FAC80A;images/303924.jpg;0.312;0.34
300123;https://brickset.com/parts/300123;Brick 2X4;Blue;Bright Blue;1E5AA8;images/300123.jpg;0.242;0.34
