Frame,Time,M Gaze,P1 Gaze,P2 Gaze,M ASR,P1 ASR,P2 ASR,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1,0.02,,,,,,,
2,0.04,,,,,,,
3,0.06,,,,,,,
4,0.08,,,,,,,
5,0.1,,,,,,,
6,0.12,,,,,,,
7,0.14,,,,,,,
8,0.16,,,,,,,
9,0.18,,,,,,,
10,0.2,,,,,,,
11,0.22,,,,,,,
12,0.24,,,,,,,
13,0.26,,,,,,,
14,0.28,,,,,,,
15,0.3,,,,,,,
16,0.32,,,,,,,
17,0.34,,,,,,,
18,0.36,,P2,,,,,
19,0.38,,P2,,,,,
20,0.4,,P2,,,,,
21,0.42,,P2,,,,,
22,0.44,,P2,,,,,
23,0.46,,P2,,,,,
24,0.48,,P2,,,,,
25,0.5,,P2,,,,,
26,0.52,,P2,,,,,
27,0.54,,P2,,,,,
28,0.56,,P2,,,,,
29,0.58,,P2,,,,,
30,0.6,,P2,,,,,
31,0.62,,P2,,,,,
32,0.64,,,,,,,
33,0.66,,,,,,,
34,0.68,,,,,,,
35,0.7,,,,,,,
36,0.72,,,,,,,
37,0.74,,,,,,,
38,0.76,,,,,,,
39,0.78,,,,,,,
40,0.8,,,,,,,
41,0.82,,,,,,,
42,0.84,,,,,,,
43,0.86,,,,,,,
44,0.88,,,,,,,
45,0.9,,,,,,,
46,0.92,,,,,,,
47,0.94,,,,,,,
48,0.96,,,,,,,
49,0.98,,P2,,,,,
50,1,,P2,,,,,
51,1.02,,P2,,,,,
52,1.04,,P2,,,,,
53,1.06,,P2,,,,,
54,1.08,,P2,,,,,
55,1.1,,P2,,,,,
56,1.12,,P2,,,,,
57,1.14,,P2,,,,,
58,1.16,,P2,,,,,
59,1.18,,P2,,,,,
60,1.2,,P2,,,,,
61,1.22,,P2,,,,,
62,1.24,,P2,,,,,
63,1.26,,P2,,,,,
64,1.28,,P2,,,,,
65,1.3,,P2,,,,,
66,1.32,,P2,,,,,
67,1.34,,P2,,,,,
68,1.36,,P2,,,,,
69,1.38,,P2,,,,,
70,1.4,,P2,,,,,
71,1.42,,P2,,,,,
72,1.44,,P2,,,,,
73,1.46,,P2,,,,,
74,1.48,,P2,,,,,
75,1.5,,P2,,,,,
76,1.52,,,,,,,
77,1.54,,,,,,,
78,1.56,,,,,,,
79,1.58,,,,,,,
80,1.6,,,,,,,
81,1.62,,,,,,,
82,1.64,,,,,,,
83,1.66,,,,,,,
84,1.68,,,,,,,
85,1.7,,,,,,,
86,1.72,,,,,,,
87,1.74,,,,,,,
88,1.76,,,,,,,
89,1.78,,,,,,,
90,1.8,,,,,,,
91,1.82,,,,,,,
92,1.84,,,,,,,
93,1.86,,,,,,,
94,1.88,,,,,,,
95,1.9,,,,,,,
96,1.92,,,,,,,
97,1.94,,,,,,,
98,1.96,,,,,,,
99,1.98,,,,,,,
100,2,,,,,,,
101,2.02,,,,,,,
102,2.04,,,,,,,
103,2.06,,,,,,,
104,2.08,,,,,,,
105,2.1,,,,,,,
106,2.12,,,,,,,
107,2.14,,,,,,,
108,2.16,,,,,,,
109,2.18,,,,,,,
110,2.2,,,,,,,
